,frame,age,gender,emotion,yaw,pitch,roll
0,5,23.0,female,neutral,-14.491044998168945,4.504913806915283,-2.622910737991333
1,6,23.0,female,neutral,-12.89814567565918,3.8334431648254395,-2.2370243072509766
2,7,22.0,male,neutral,-6.517294883728027,-0.5365383625030518,-4.133857250213623
3,8,22.0,male,neutral,-5.882519721984863,-1.2981512546539307,-3.716012954711914
4,9,22.0,male,neutral,-6.050530433654785,-2.9619057178497314,-4.725236415863037
5,10,23.0,male,neutral,-6.140748977661133,-4.317021369934082,-3.497429847717285
6,11,22.0,male,neutral,-2.32024884223938,5.081812858581543,-5.148059844970703
7,12,21.0,male,neutral,-6.1576948165893555,1.6583614349365234,-7.130805015563965
8,13,21.0,male,neutral,-7.1703290939331055,-0.35968637466430664,-7.6888580322265625
9,14,22.0,male,neutral,-4.658952713012695,1.2063093185424805,-4.703591346740723
10,15,23.0,male,neutral,0.751455545425415,0.31658172607421875,-9.263815879821777
11,16,22.0,male,neutral,0.3624266982078552,-3.4399056434631348,-10.74281120300293
12,17,21.0,male,neutral,-0.6949081420898438,-1.915573000907898,-13.658710479736328
13,18,22.0,male,neutral,-0.8667182922363281,-3.3903017044067383,-15.942895889282227
14,19,21.0,male,neutral,-0.9003832340240479,-3.128955364227295,-15.001717567443848
15,20,21.0,male,neutral,-1.7029950618743896,-4.046228408813477,-19.70759391784668
16,21,22.0,male,neutral,-6.814749240875244,-8.043500900268555,-24.049102783203125
17,22,21.0,male,neutral,-7.654275894165039,-9.09560775756836,-24.90758514404297
18,23,21.0,male,neutral,-7.124844074249268,-6.49327278137207,-23.07761001586914
19,24,21.0,male,neutral,-20.064682006835938,-1.7092633247375488,-20.74169158935547
20,25,21.0,male,neutral,-10.392465591430664,-0.9449245929718018,-17.834049224853516
21,26,21.0,male,neutral,-5.809786319732666,0.13090825080871582,-16.633193969726562
22,27,21.0,male,neutral,-5.524775505065918,5.528224945068359,-14.88648796081543
23,28,21.0,male,neutral,-3.6283836364746094,10.866657257080078,-11.340606689453125
24,29,21.0,male,neutral,-11.670714378356934,12.945846557617188,-16.82004165649414
25,30,21.0,male,neutral,-9.561368942260742,5.066438674926758,-9.041839599609375
26,31,21.0,male,neutral,-9.49919605255127,8.289326667785645,-9.08672046661377
27,32,21.0,male,neutral,-12.507766723632812,0.48068809509277344,-4.346755504608154
28,33,21.0,male,neutral,-11.88918399810791,13.41461181640625,-6.528791427612305
29,34,21.0,male,neutral,-15.982812881469727,22.619386672973633,-5.856706619262695
30,35,21.0,male,neutral,-12.412415504455566,17.86235237121582,-3.089493751525879
31,36,21.0,male,neutral,-14.525833129882812,3.904463768005371,-2.918365001678467
32,37,21.0,male,neutral,-11.007232666015625,19.431529998779297,-3.4329373836517334
33,38,21.0,male,neutral,-13.048847198486328,23.06155776977539,-0.1358189582824707
34,39,21.0,male,neutral,-17.97059440612793,26.341266632080078,-0.32610630989074707
35,40,22.0,male,neutral,-10.760650634765625,12.887378692626953,-5.026830196380615
36,41,21.0,male,neutral,-11.669929504394531,12.460273742675781,-4.022480010986328
37,42,21.0,male,neutral,-5.762953758239746,15.836404800415039,-1.2353801727294922
38,43,21.0,male,neutral,-6.031890392303467,14.327497482299805,-0.7968363761901855
39,44,21.0,male,neutral,-3.2574362754821777,10.380471229553223,-1.7051360607147217
40,45,21.0,male,neutral,-3.3058559894561768,9.87509822845459,-3.0871639251708984
41,46,21.0,male,neutral,-4.956112861633301,9.035354614257812,0.6709859371185303
42,47,21.0,male,neutral,-8.585870742797852,0.8907938003540039,-6.154534816741943
43,48,21.0,male,happy,-11.969452857971191,-10.000306129455566,-10.178522109985352
44,49,21.0,male,happy,-6.370718479156494,-11.667878150939941,-5.0165557861328125
45,50,21.0,male,happy,-12.01118278503418,-1.914215326309204,-4.072418212890625
46,51,21.0,male,happy,-10.689153671264648,0.5550506114959717,-5.037015914916992
47,52,21.0,male,neutral,-6.422324180603027,1.4310054779052734,-3.1634531021118164
48,53,21.0,male,happy,-9.606086730957031,-2.446884870529175,-5.492275714874268
49,54,21.0,male,happy,-13.186528205871582,-4.645635604858398,-8.980145454406738
50,55,21.0,male,neutral,-11.205422401428223,0.3278985023498535,-9.301315307617188
51,56,22.0,male,happy,-10.899250030517578,2.8092880249023438,-10.654913902282715
52,57,22.0,male,happy,-6.269047737121582,-3.410479784011841,-5.705330848693848
53,58,23.0,male,happy,-8.445337295532227,-1.229879379272461,-6.072206974029541
54,59,23.0,male,happy,-10.22848129272461,-8.240885734558105,-5.915955066680908
55,60,22.0,male,happy,-4.504726409912109,0.946131706237793,-1.0915374755859375
56,61,23.0,male,happy,-7.591991424560547,9.113716125488281,-1.027986764907837
57,62,22.0,male,happy,-8.395246505737305,15.471609115600586,-4.008214950561523
58,63,23.0,male,neutral,-8.330097198486328,4.898638725280762,-6.271160125732422
