,frame,age,yaw,pitch,roll,male,female,happy,sad,anger,neutral,surprise
28,33,-0.3141485046290673,0.6179975157482938,0.3420580060016423,-0.5749119012642453,True,False,False,False,False,True,False
29,34,0.2454285192414571,-1.0062258192651587,0.30762393328429694,-0.9706514882879755,True,False,False,False,False,True,False
30,35,0.2454285192414571,-0.5903572409456165,-0.08117014345180334,-0.14415714395166823,True,False,False,False,False,True,False
31,36,-0.3141485046290673,-1.5284637164112176,-1.9434569636787313,-0.26657214142334734,True,False,False,False,False,True,False
32,37,-0.3141485046290673,-1.4226309321369568,-1.7782652268589243,-0.07969408542845197,True,False,False,False,False,True,False
33,38,-0.8737255284995916,-0.72409938826897,-1.4115384681263656,0.547039244315913,True,False,False,False,False,True,False
34,39,-0.8737255284995916,-1.013645101779742,-1.453705489949379,0.4406805168118939,True,False,True,False,False,False,False
35,40,-0.3141485046290673,-0.025487213890073624,-0.43812117233172093,0.7881854951992332,True,False,True,False,False,False,False
36,41,-0.8737255284995916,0.2974063678536581,-1.0560674555864584,0.7394248906999458,True,False,True,False,False,False,False
37,42,-0.3141485046290673,0.35611622163850115,-0.7016616462277262,0.6311712483246774,True,False,True,False,False,False,False
38,43,-0.3141485046290673,0.4126796183365951,-0.5638208275725161,0.8768395861124386,True,False,True,False,False,False,False
39,44,-0.3141485046290673,0.6745976289389262,-0.9015347129900768,0.9036743140947956,True,False,True,False,False,False,False
40,45,0.2454285192414571,0.8462028392212703,-0.33404933285738414,0.9260368706040829,True,False,True,False,False,False,False
41,46,0.2454285192414571,0.47673172178578427,-0.9509251453168494,0.7454913270681363,True,False,True,False,False,False,False
42,47,0.8050055431119815,0.6623777333558807,-0.41207579796716026,0.6617203295832512,True,False,True,False,False,False,False
43,48,-0.3141485046290673,0.7045531164757407,-0.7292569816864428,0.5145722974302744,True,False,True,False,False,False,False
44,49,0.2454285192414571,0.538786397931524,-0.7852282672077712,0.6033202106392492,True,False,True,False,False,False,False
45,50,-0.3141485046290673,1.7283527650797836,-0.9362401365414484,0.7677124360008095,True,False,True,False,False,False,False
46,51,0.2454285192414571,1.242010022555972,-0.5910779364008395,0.5546650023147369,True,False,True,False,False,False,False
47,52,-0.3141485046290673,0.7633506046929919,-0.3906110492110215,0.6381258198422698,True,False,True,False,False,False,False
48,53,0.2454285192414571,0.3107743599149255,-0.3372760442267535,0.9230261106703136,True,False,True,False,False,False,False
49,54,-0.8737255284995916,0.8673600062659184,-1.12077565165508,0.7147084534536478,True,False,True,False,False,False,False
50,55,-1.433302552370116,0.1481199790918164,-0.530680480877493,0.6770678841513719,True,False,True,False,False,False,False
51,56,-1.433302552370116,0.5096103842207959,-0.8346873159338299,0.7881629384478094,True,False,True,False,False,False,False
52,57,-1.433302552370116,1.208087946645038,-0.9936170963360039,0.895462499188618,True,False,True,False,False,False,False
53,58,-1.433302552370116,1.3781858902439252,-0.599769224829515,0.8734663667635956,True,False,True,False,False,False,False
54,59,-1.433302552370116,1.0393482399463083,-0.5481164667612577,0.8974666517774613,True,False,True,False,False,False,False
55,60,-1.433302552370116,0.5748618323542933,-0.7667311548180895,0.6535418326734453,True,False,True,False,False,False,False
56,61,-1.433302552370116,-0.1988855419609353,-0.12105065431382386,0.33625694187762467,True,False,True,False,False,False,False
